well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
F5,0.085,GC030,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆glt,Single KO,0.005851851851851858
F6,0.085,GC029,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆flh,Single KO,0.005851851851851858
F7,0.088,GC029,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆flh,Single KO,0.008851851851851847
F8,0.085,GC029,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,∆flh,Single KO,0.005851851851851858
F9,0.086,GC001,1,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,WT,WT,0.006851851851851845
F10,0.085,GC001,2,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,WT,WT,0.005851851851851858
F11,0.082,GC001,3,glucose-acetate,2021-09-07,1,0.6277777777777778,0.07914814814814815,WT,WT,0.0028518518518518554
C3,0.089,GC032,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆mal,Single KO,0.009777777777777788
C4,0.091,GC049,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆pot,Single KO,0.01177777777777779
C5,0.092,GC052,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆nmp,Single KO,0.01277777777777779
C6,0.088,GC047,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆his,Single KO,0.008777777777777787
C7,0.095,GC050,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆rbs,Single KO,0.015777777777777793
C8,0.085,GC048,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆dpp,Single KO,0.005777777777777798
C9,0.088,GC053,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆opp,Single KO,0.008777777777777787
C10,0.093,GC055,1,glucose-acetate,2021-09-07,1,0.7533333333333333,0.07922222222222221,∆mgl,Single KO,0.013777777777777792
